building_id,location_rating_MIKRAT_W,location_rating_IMAGE_W,location_rating_FZ_W,location_rating_DL_W,location_rating_NASE_W_DOM,location_rating_FGFRQZ
2121,2.5,1.2,1.9,4.0,1.0,1.0
2153,4.6,4.0,4.9,4.0,9.0,1.0
59,2.8,1.1,4.0,1.0,1.0,1.0
403,3.0,3.0,4.0,4.0,3.0,4.0
954,3.2,3.1,3.0,1.0,6.0,1.0
17991,3.6,4.1,4.0,4.9,9.0,2.0
1423,3.8,4.0,4.0,4.0,9.0,1.0
3095,2.5,1.2,3.0,1.0,1.0,1.0
7466,2.8,1.0,3.0,2.0,4.0,1.0
2172,4.2,4.0,3.0,5.0,9.0,5.0
1450,3.5,3.0,3.0,3.1,5.0,1.0
1158,2.9,3.0,3.0,1.0,6.0,1.0
2855,4.4,4.1,4.9,5.0,9.0,3.0
738,3.6,4.0,4.0,5.0,9.0,2.0
2317,3.3,3.0,3.0,2.0,3.0,1.0
5757,3.4,3.0,3.0,3.1,5.0,1.0
1154,2.4,1.0,3.0,3.0,1.0,1.0
1345,3.1,2.9,4.0,4.0,5.0,1.0
7500,3.9,4.1,4.0,3.0,9.0,1.0
2300,3.1,3.0,4.0,4.0,9.0,1.0
929,3.0,1.0,4.0,4.0,2.0,1.0
457,3.5,3.1,3.1,3.1,9.0,1.0
1024,3.7,3.0,4.0,4.0,5.0,1.0
1935,2.6,1.2,4.0,4.1,1.0,1.0
7234,3.2,2.9,3.0,2.1,1.0,1.0
1113,2.9,3.0,2.1,1.9,4.0,1.0
2190,2.8,1.2,4.0,4.1,2.0,1.0
1428,2.8,1.1,4.9,4.9,5.0,1.0
755,3.6,3.0,4.0,4.0,3.0,1.0
3416,3.4,4.0,4.0,2.1,9.0,1.0
5604,2.6,1.2,2.0,2.0,5.0,1.0
7360,2.7,1.0,3.1,1.1,1.0,1.0
5347,4.1,4.1,3.0,5.0,9.0,5.0
1112,2.2,1.2,2.1,1.9,6.0,1.0
2258,3.7,4.0,4.0,5.0,9.0,2.0
5261,2.6,1.0,2.0,4.9,3.0,1.0
5124,4.2,3.9,4.0,5.0,9.0,2.0
5869,3.9,4.1,3.0,3.0,9.0,1.0
408,4.2,4.1,4.0,4.0,9.0,2.0
1394,2.5,3.0,3.0,3.1,4.0,1.0
2903,3.4,4.1,4.0,4.0,9.0,1.0
2168,3.5,3.0,3.0,4.0,7.0,1.0
4952,4.2,4.1,3.0,5.0,9.0,4.0
7147,3.4,3.0,2.9,4.0,4.0,1.0
523,3.4,4.1,4.0,5.0,9.0,3.0
424,3.8,4.1,4.0,2.0,9.0,2.0
2390,3.7,3.1,4.0,4.0,9.0,1.0
5455,4.0,4.1,3.0,5.0,9.0,5.0
1746,3.3,4.0,3.1,1.0,9.0,1.0
16723,3.6,3.0,2.0,3.9,4.0,1.0
5496,2.4,1.0,4.0,2.0,2.0,1.0
6681,2.6,1.2,3.0,2.0,4.0,1.0
1550,3.1,1.2,4.0,2.0,2.0,1.0
955,3.1,3.1,3.0,1.0,6.0,1.0
68,2.9,3.0,4.0,3.0,9.0,1.0
553,3.4,3.0,4.0,1.0,3.0,1.0
18264,3.4,4.0,5.0,5.0,9.0,1.0
17935,3.5,2.9,3.9,4.0,9.0,1.0
1779,3.5,3.0,4.0,2.9,1.0,1.0
1586,3.4,3.0,3.9,1.9,6.0,1.0
5709,2.7,1.1,3.0,2.0,1.0,1.0
1865,3.1,2.9,4.0,1.0,6.0,1.0
3409,2.7,1.1,4.0,1.0,3.0,1.0
6831,3.3,3.0,4.0,2.0,3.0,1.0
2382,3.5,3.0,4.0,4.0,9.0,1.0
717,4.1,3.9,4.0,4.0,9.0,1.0
3191,4.1,4.0,3.0,5.0,9.0,3.0
1740,3.1,3.0,3.0,4.0,3.0,1.0
5396,3.3,4.1,3.0,5.0,9.0,2.0
1664,3.0,1.0,4.0,5.0,3.0,2.0
2046,3.5,3.0,4.0,4.0,8.0,1.0
710,4.0,4.0,4.0,3.0,5.0,1.0
1393,3.5,4.0,3.1,4.0,9.0,1.0
3005,4.6,4.0,4.0,5.0,6.0,5.0
6456,3.5,3.0,4.0,4.0,9.0,1.0
956,3.5,4.0,3.0,1.0,7.0,1.0
2163,3.3,3.0,3.0,1.0,2.0,1.0
14924,3.4,4.0,4.0,5.0,9.0,1.0
1292,3.4,2.9,5.0,4.1,3.0,1.0
444,4.1,3.0,4.0,4.0,9.0,1.0
3075,2.9,3.0,3.9,1.0,2.0,1.0
2127,3.9,4.0,3.0,4.0,9.0,1.0
17063,3.2,3.0,4.0,4.0,9.0,2.0
7448,2.8,1.0,3.0,2.0,3.0,1.0
5427,3.6,3.9,4.0,3.0,8.0,1.0
3446,4.6,5.0,4.0,4.0,8.0,1.0
2117,3.4,1.1,3.1,4.0,3.0,1.0
1435,3.2,3.1,4.0,4.0,9.0,1.0
5393,3.6,3.9,4.0,3.0,8.0,1.0
2087,3.1,4.0,3.9,3.0,9.0,1.0
2827,3.5,4.1,4.0,5.0,9.0,4.0
3173,3.7,4.0,4.0,2.0,8.0,1.0
620,2.2,1.2,3.0,2.0,5.0,1.0
17735,2.2,1.2,3.9,3.0,5.0,1.0
2159,3.8,3.0,4.0,2.9,9.0,1.0
16581,3.6,3.1,4.0,3.1,9.0,1.0
14796,3.7,3.9,2.0,4.0,9.0,1.0
5377,3.8,4.1,2.0,4.1,9.0,1.0
16994,3.5,3.0,4.0,2.0,9.0,1.0
1090,3.2,4.0,5.0,4.0,9.0,1.0
555,3.4,3.0,4.0,1.0,5.0,1.0
7138,3.0,3.0,3.0,4.0,1.0,1.0
394,3.7,4.1,3.9,3.0,9.0,3.0
1022,3.6,3.0,4.0,4.1,9.0,3.0
773,3.4,4.0,4.0,4.9,7.0,3.0
16859,2.8,1.0,4.0,2.9,1.0,1.0
2079,4.4,4.0,5.0,5.0,9.0,1.0
944,4.2,4.1,3.0,3.0,9.0,2.0
5407,4.0,4.1,3.0,3.0,9.0,2.0
16497,3.2,3.9,1.0,2.0,9.0,1.0
465,4.6,4.0,5.0,5.0,9.0,2.0
29,3.9,3.0,3.9,4.9,9.0,1.0
2239,4.2,4.0,5.0,4.1,9.0,1.0
205,4.5,5.0,3.9,1.9,8.0,1.0
1034,2.6,1.0,3.9,2.0,2.0,1.0
315,4.2,4.0,4.9,5.0,9.0,5.0
1164,3.5,3.0,4.0,2.0,1.0,1.0
16136,2.9,1.2,3.0,4.0,1.0,1.0
1704,3.4,3.0,3.9,3.0,5.0,1.0
2106,3.6,3.0,4.1,3.0,9.0,1.0
6116,3.5,4.0,2.0,3.0,9.0,1.0
1390,2.8,1.1,4.0,1.0,1.0,1.0
4855,3.2,3.1,2.9,4.0,9.0,1.0
1151,2.5,1.0,3.0,3.0,1.0,1.0
1817,3.8,4.0,3.0,3.0,9.0,1.0
835,4.4,4.1,4.0,5.0,9.0,1.0
16542,3.0,3.1,1.1,2.1,8.0,1.0
2100,4.4,4.0,4.0,5.0,9.0,3.0
484,3.5,3.0,4.1,4.0,1.0,1.0
7479,4.1,4.0,5.0,3.9,6.0,1.0
3303,3.7,4.0,3.9,1.0,9.0,1.0
4995,4.1,4.1,3.0,5.0,9.0,2.0
17166,2.7,1.2,3.9,3.0,9.0,1.0
6346,4.1,4.0,3.0,5.0,9.0,5.0
6598,2.6,1.1,3.0,2.0,4.0,1.0
448,3.5,3.0,4.9,4.9,3.0,1.0
633,3.6,3.0,4.0,3.1,8.0,1.0
7134,3.4,3.0,2.9,3.9,5.0,1.0
2932,3.6,3.1,3.0,4.0,9.0,1.0
3158,3.3,3.0,3.1,4.0,6.0,1.0
1079,3.5,2.9,4.0,4.0,1.0,1.0
830,3.7,3.0,4.1,3.0,9.0,1.0
3165,3.3,3.0,3.1,4.0,9.0,1.0
2078,2.5,1.1,4.0,4.9,3.0,1.0
909,3.7,3.1,3.0,4.0,9.0,1.0
1682,3.0,1.2,4.0,3.0,3.0,1.0
16330,4.1,4.1,3.0,5.0,9.0,3.0
1233,3.5,3.0,4.1,2.0,4.0,1.0
6148,3.9,4.0,3.0,4.0,7.0,1.0
836,3.2,3.0,3.1,1.9,3.0,1.0
2836,4.2,4.0,4.9,5.0,9.0,5.0
1573,4.1,4.0,4.0,3.0,9.0,1.0
1373,3.1,3.0,4.0,2.0,9.0,1.0
481,2.9,3.0,4.0,4.0,9.0,1.0
2975,3.4,2.9,4.0,2.1,1.0,1.0
914,3.2,2.9,4.0,2.0,5.0,1.0
1088,3.7,4.0,4.0,4.0,9.0,1.0
2074,1.9,1.0,4.0,1.1,2.0,1.0
18211,4.0,4.0,3.1,4.9,9.0,1.0
3290,3.4,3.0,3.9,1.0,6.0,1.0
1005,3.3,4.1,3.0,3.0,9.0,1.0
17191,3.4,1.2,4.9,4.0,3.0,1.0
